Id,Grade,IconTexture,BackgroundImage,WorldInfoId,TerritoryId,FortressSiegeWorldInfoId,GlobalBuffInfoId,LocalBuffInfoId,SiegeType
1001,2,Image_Castle_mark_01,Image_Fortress_01,3,1,16003,,,2
1002,2,Image_Castle_mark_01,Image_Fortress_02,4,1,16004,,,2
1003,2,Image_Castle_mark_01,Image_Fortress_03,5,1,16005,,,2
1004,2,Image_Castle_mark_01,Image_Fortress_04,6,1,16006,,,2
2001,3,Image_Castle_mark_02,Image_Fortress_05,7,2,16007,,,2
2002,3,Image_Castle_mark_02,Image_Fortress_06,8,2,16008,,,2
2003,3,Image_Castle_mark_02,Image_Fortress_07,9,2,16009,,,2
2004,3,Image_Castle_mark_02,Image_Fortress_08,10,2,16010,,,2
5001,1,Image_Castle_mark_05,Image_Fortress_16,1,5,16019,,,2
5002,1,Image_Castle_mark_05,Image_Fortress_17,1,5,16020,,,2
5003,1,Image_Castle_mark_05,Image_Fortress_18,1,5,16021,,,2
5004,1,Image_Castle_mark_05,Image_Fortress_19,1,5,16022,,,2
5005,1,Image_Castle_mark_05,Image_Fortress_20,2,5,16023,,,2
5006,1,Image_Castle_mark_05,Image_Fortress_21,2,5,16024,,,2
5007,1,Image_Castle_mark_05,Image_Fortress_22,2,5,16025,,,2
5008,1,Image_Castle_mark_05,Image_Fortress_23,2,5,16026,,,2
10001,8,,,16999,0,16999,,,3
