Id,NameKey,DescKey,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,OptionGroup,SelectedRate
400011,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400011,1
400012,292000040004,522000400012,AttackPowerMagMul,0,0,1,400011,1
400013,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400011,1
400014,292000040019,522000400014,DefensePowerMagMul,0,0,1,400011,1
400015,292000040047,522000400015,MaxHPMul,0,0,1,400011,1
400016,292000040049,522000400016,MaxMPMul,0,0,1,400011,1
400017,292000040008,522000400017,CriticalDamageMul,0,0,1,400011,1
400021,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400021,1
400022,292000040004,522000400012,AttackPowerMagMul,0,0,1,400021,1
400023,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400021,1
400024,292000040019,522000400014,DefensePowerMagMul,0,0,1,400021,1
400025,292000040047,522000400015,MaxHPMul,0,0,1,400021,1
400026,292000040049,522000400016,MaxMPMul,0,0,1,400021,1
400027,292000040008,522000400017,CriticalDamageMul,0,0,1,400021,1
400031,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400031,1
400032,292000040004,522000400012,AttackPowerMagMul,0,0,1,400031,1
400033,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400031,1
400034,292000040019,522000400014,DefensePowerMagMul,0,0,1,400031,1
400035,292000040047,522000400015,MaxHPMul,0,0,1,400031,1
400036,292000040049,522000400016,MaxMPMul,0,0,1,400031,1
400037,292000040008,522000400017,CriticalDamageMul,0,0,1,400031,1
400041,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400041,1
400042,292000040004,522000400012,AttackPowerMagMul,0,0,1,400041,1
400043,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400041,1
400044,292000040019,522000400014,DefensePowerMagMul,0,0,1,400041,1
400045,292000040047,522000400015,MaxHPMul,0,0,1,400041,1
400046,292000040049,522000400016,MaxMPMul,0,0,1,400041,1
400047,292000040008,522000400017,CriticalDamageMul,0,0,1,400041,1
400051,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400051,1
400052,292000040004,522000400012,AttackPowerMagMul,0,0,1,400051,1
400053,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400051,1
400054,292000040019,522000400014,DefensePowerMagMul,0,0,1,400051,1
400055,292000040047,522000400015,MaxHPMul,0,0,1,400051,1
400056,292000040049,522000400016,MaxMPMul,0,0,1,400051,1
400057,292000040008,522000400017,CriticalDamageMul,0,0,1,400051,1
400061,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400061,1
400062,292000040004,522000400012,AttackPowerMagMul,0,0,1,400061,1
400063,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400061,1
400064,292000040019,522000400014,DefensePowerMagMul,0,0,1,400061,1
400065,292000040047,522000400015,MaxHPMul,0,0,1,400061,1
400066,292000040049,522000400016,MaxMPMul,0,0,1,400061,1
400067,292000040008,522000400017,CriticalDamageMul,0,0,1,400061,1
400071,292000040003,522000400011,AttackPowerPhyMul,0,0,1,400071,1
400072,292000040004,522000400012,AttackPowerMagMul,0,0,1,400071,1
400073,292000040018,522000400013,DefensePowerPhyMul,0,0,1,400071,1
400074,292000040019,522000400014,DefensePowerMagMul,0,0,1,400071,1
400075,292000040047,522000400015,MaxHPMul,0,0,1,400071,1
400076,292000040049,522000400016,MaxMPMul,0,0,1,400071,1
400077,292000040008,522000400017,CriticalDamageMul,0,0,1,400071,1
400081,292000040003,522000400011,AttackPowerPhyMul,50,50,1,400081,1
400082,292000040004,522000400012,AttackPowerMagMul,50,50,1,400081,1
400083,292000040018,522000400013,DefensePowerPhyMul,50,50,1,400081,1
400084,292000040019,522000400014,DefensePowerMagMul,50,50,1,400081,1
400085,292000040047,522000400015,MaxHPMul,50,50,1,400081,1
