Index,Id,NameKey,Resource,SocketName,Scale,Offset_X,Offset_Y,Offset_Z,EffectRotationOnly
1,1,171000000001,Common/Stun_DeBuff_Effect,Socket_Top,0.8,,,,1
2,2,171000000002,Common/Burn_DeBuff_Effect,Socket_Center,0.5,,,,1
3,3,171000000003,Common/Positive_Buff_Effect,Socket_Center,1,,,,1
4,4,171000000002,Common/Burn_DeBuff_Effect,Socket_Center,0.3,,,,1
5,5,171000000005,Common/Poison_DeBuff_Effect,Socket_Center,1,,,,1
6,6,171000000005,Common/Poison_DeBuff_Effect,Socket_Center,1,,,,1
7,7,171000000007,Common/Negative_DeBuff_Effect,Socket_Center,3,,,,1
8,100,171000000008,Common/LevelUp_01_jh,Bip01-Head,1,,,,1
9,1001,171000000009,Common/Positive_Buff_Effect,Socket_Center,1,,,,1
10,1002,171000000010,Common/Wealth_Buff_Effect,Socket_Center,1,,,,1
11,1003,171000000011,Common/HP_Buff_Effect,Socket_Center,1,,,,1
12,1004,171000000012,Common/ManaShield_Buff_Effect,Socket_Center,1,,,,1
13,1005,171000000013,Common/Negative_DeBuff_Effect,Socket_Center,1,,,,1
14,1006,171000000014,Common/Curse_DeBuff_Effect,Socket_Center,1,,,,1
15,1007,171000000015,Common/Bleed_DeBuff_Effect,Socket_Center,1,,,,1
16,1008,171000000016,Common/Burn_DeBuff_Effect,Socket_Center,1,,,,1
17,1009,171000000017,Common/Stun_DeBuff_Effect,Socket_Top,1,,,,1
18,1010,171000000018,Common/Taunt_DeBuff_Effect,Socket_Top,1,,,,1
19,30001,171000000019,PC/Human/absolute_loop01,Socket_Center,1,,,,1
20,100001,171000000020,Common/Positive_Buff_Effect,Socket_Center,,,,,1
21,100003,171000000021,Common/Positive_Buff_Effect,Socket_Center,0.5,,,,1
22,100004,171000000022,Common/Positive_Buff_Effect,Socket_Center,0.4,,,,1
23,301,171000000023,Common/Ratel_PC_Buff_01,Socket_Center,1,,,,1
24,302,171000000024,Common/Ratel_PC_Buff_02,Socket_Center,1,,,,1
25,303,171000000025,Common/Ratel_PC_Buff_03,Socket_Center,1,,,,1
26,305,10000305,PC/Human/SecretEnt_buff_01_gi,Socket_Center,1.5,,,,1
27,100005,171000000027,Common/SoulShotReady_01,Bip01-R-Finger1,1,,,,1
28,100006,171000000028,Common/HpPotionUse_01,Fx_Base,1,,,,1
29,100007,171000000029,Common/MpPotionUse_01,Fx_Base,1,,,,1
30,101,171000000030,Common/ClassTransfer_01,Fx_Base,1,,,,1
31,102,171000000030,Common/ClassTransfer_02,Camera,1,,,,1
32,400001,171000000032,Common/Buff_HolyArtifact_01,Socket_Center,1,,,,1
33,400002,171000000033,Common/Buff_HolyArtifact_02,Socket_Center,1,,,,1
34,400003,171000000034,Common/Buff_HolyArtifact_03,Socket_Center,1,,,,1
35,400004,171000000035,Common/Buff_HolyArtifact_04,Socket_Center,1,,,,1
36,400005,171000000036,Common/Buff_HolyArtifact_05,Socket_Center,1,,,,1
37,300001,171000000037,Monster/Deathknight/Deathknight_Skill02_Loop_jh,Socket_Center,1.5,,,,1
38,300002,171000000038,Monster/Deathknight/Deathknight_Skill05_Loop_jh,Socket_Center,1.5,,,,1
39,300003,171000000039,Monster/Deathknight/Deathknight_Skill05_Loop_sword_jh,WeaponR,1.2,,,,1
40,302001,171000000040,Common/Buff_GuildMaster_01_jh,Socket_Top,1,,,,1
41,302002,171000000041,Common/Buff_GuildMaster_02_jh,Socket_Top,1,,,,1
42,302003,171000000042,Common/Buff_GuildMaster_03_jh,Socket_Top,1,,,,1
43,302004,171000000043,Common/Firework_GuildMaster_01,Camera,1,,,,1
44,500001,171000000044,Common/DungeonBuff_Get_01,Fx_Base,1,,,,1
45,500002,171000000045,Common/DungeonBuff_Get_02,Fx_Base,1,,,,1
46,500003,171000000046,Common/DungeonBuff_Get_03,Fx_Base,1,,,,1
47,500004,171000000047,Common/DungeonBuff_Get_04,Fx_Base,1,,,,1
48,500005,171000000048,Common/DungeonBuff_Get_05,Fx_Base,1,,,,1
49,500006,171000000049,Common/DungeonBuff_Get_06,Fx_Base,1,,,,1
50,300004,171000000050,PC/Human/QueenAntBossSkill_05_gi4,Socket_Center,2,,,,1
51,300005,171000000051,Common/Ratel_Buff_02,Socket_Center,3,,,,1
52,300006,171000000052,Common/Ratel_Buff_02,Socket_Center,5,,,,1
53,300007,171000000053,Common/Ratel_Buff_02,Socket_Center,7,,,,1
54,300008,171000000054,Common/Ratel_Buff_02,Socket_Center,9,,,,1
