Id,GroupId,QuestId,MaxPlayer,RewardCount,ExpRestrictRate,AdenaRestrictRate,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,RewardParam4,RewardCount4,RandomSeedRewardItemID,RandomSeedReward,RandomSeedRewardValue,ChargeMaxCount,ChargeCost
100001,100000,130001,5,1,0,0,1301001,10,473001,1,,,,,,,,4,"100, 200, 400, 800"
100002,100000,130002,5,1,0,0,1301001,20,473001,2,1301002,5,,,490200,130100,1,4,"100, 200, 400, 800"
100003,100000,130003,5,1,0,0,1301001,40,473001,4,1301002,10,,,490200,130110,1,4,"100, 200, 400, 800"
100004,100000,130004,5,1,0,0,1301001,100,473001,8,1301002,25,,,490200,130120,2,4,"100, 200, 400, 800"
100101,100100,130101,5,1,0,0,1301001,10,473011,1,,,,,,,,4,"100, 200, 400, 800"
100102,100100,130102,5,1,0,0,1301001,20,473011,2,1301003,5,,,490200,130200,1,4,"100, 200, 400, 800"
100103,100100,130103,5,1,0,0,1301001,40,473011,4,1301003,10,,,490200,130210,1,4,"100, 200, 400, 800"
100104,100100,130104,5,1,0,0,1301001,100,473011,8,1301003,25,,,490200,130220,2,4,"100, 200, 400, 800"
100200,100200,130201,5,1,0,0,1301001,10,473021,1,,,,,,,,4,"100, 200, 400, 800"
100201,100200,130202,5,1,0,0,1301001,30,473021,2,1301005,5,,,490200,130300,1,4,"100, 200, 400, 800"
100202,100200,130203,5,1,0,0,1301001,70,473021,4,1301005,10,,,490200,130310,1,4,"100, 200, 400, 800"
