ProjectileId,Id,Name,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2
11131,111311,에너지 볼트,DamageMag,공격력,"50, 63812, 13000, 22900",2,1
11125,111251,더블 샷,DamagePhy,공격력,"43, 58160, 9000, 13950",2,1
11132,111321,플레임 스트라이크:폭발,DamageMag,공격력,"58, 73630, 14000, 23900",2,1
11132,111322,플레임 스트라이크:폭발,Buff,넉다운,1001,,
11133,111331,윈드 스트라이크,DamageMag,공격력,"81, 103376, 17500, 27400",2,1
12131,121311,에너지 볼트,DamageMag,공격력,"56, 71700, 13000, 22900",2,1
12125,121251,더블 샷,DamagePhy,공격력,"35, 51541, 9000, 13950",2,1
12132,121321,플레임 스트라이크:폭발,DamageMag,공격력,"65, 82730, 14000, 23900",2,1
12132,121322,플레임 스트라이크:폭발,Buff,넉다운,1001,,
12133,121331,윈드 스트라이크,DamageMag,공격력,"91, 116154, 17500, 27400",2,1
13131,131311,에너지 볼트,DamageMag,공격력,"59, 78870, 13000, 22900",2,1
13125,131251,더블 샷,DamagePhy,공격력,"41, 56323, 9000, 13950",2,1
13132,131321,플레임 스트라이크:폭발,DamageMag,공격력,"67, 91004, 14000, 23900",2,1
13132,131322,플레임 스트라이크:폭발,Buff,넉다운,1001,,
13133,131331,윈드 스트라이크,DamageMag,공격력,"95, 127769, 17500, 27400",2,1
14131,141311,에너지 볼트,DamageMag,공격력,"51, 65247, 13000, 22900",2,1
14125,141251,더블 샷,DamagePhy,공격력,"37, 49514, 9000, 13950",2,1
14132,141321,플레임 스트라이크:폭발,DamageMag,공격력,"59, 75285, 14000, 23900",2,1
14132,141322,플레임 스트라이크:폭발,Buff,넉다운,1001,,
14133,141331,윈드 스트라이크,DamageMag,공격력,"83, 105700, 17500, 27400",2,1
11252,112521,몰튼 보울:폭발,DamageMag,공격력,"2697, 145605, 21000, 30900",1.6,1
11252,112522,몰튼 보울:폭발,Buff,넉다운,1001,,
11252,112523,몰튼 보울,DamageMag,공격력,"270, 14561, 2400, 4380",1.6,1
12221,122211,소닉 블래스터,DamagePhy,공격력,"2241, 120958, 16100, 26000",1.6,1
12221,122212,소닉 블래스터,Buff,공격력,12221,,
12222,122221,소닉 스톰,DamagePhy,공격력,"2308, 124623, 17100, 27000",1.6,1
12222,122222,소닉 스톰,Buff,넉다운,1003,,
12242,122421,더블 와이드 샷,DamagePhy,공격력,"1304, 70407, 11100, 21000",1.6,1
12242,122422,더블 와이드 샷,Buff,방어력 감소,12242,,
12251,122511,아이스 스피어:그래픽효과용 그라운드옵젝트,GroundObject,효과,12251,,
12251,122512,아이스 스피어,DamageMag,공격력,"1640, 192281, 22000, 31900",1.6,1
12251,122513,아이스 스피어:빙결,Buff,빙결,12251,,
13241,132411,데스 스팅어,DamagePhy,공격력,"3049, 164615, 22000, 31900",1.6,1
30004,300041,블러드 애로우,DamagePhy,공격력,"0, 0, 20000, 60000",1,1
30004,300042,블러드 애로우 도트,Buff,도트,30004,,
30006,300061,미사일 볼트 공격,DamagePhy,공격력,"0, 0, 27500, 60000",1,1
30006,300062,미사일 볼트 공격,DamageMag,공격력,"0, 0, 27500, 60000",1,1
30006,300062,미사일 볼트 스턴,Buff,스턴,30006,,
31003,310031,그레이트 슬램,DamageMag,공격력,"6547, 104509, 20000, 20000",2,2
50001,500011,몬스터:화염구,DamagePhy,공격력,"0, 0, 28000, 28000",1,1
50002,500021,몬스터:얼음창,DamagePhy,공격력,"0, 0, 25000, 25000",1,1
50003,500031,몬스터:대지마법,DamagePhy,공격력,"0, 0, 23300, 23300",1,1
50004,500041,몬스터:바람마법,DamagePhy,공격력,"0, 0, 30000, 30000",1,1
50005,500051,몬스터:암흑마법,DamagePhy,공격력,"0, 0, 24000, 24000",1,1
50006,500061,몬스터:에너지 볼트,DamagePhy,공격력,"0, 0, 10000, 10000",1,1
50007,500071,몬스터:더블 샷,DamagePhy,공격력,"0, 0, 10000, 10000",1,1
60107,601071,플레임 스트라이크:폭발,DamageMag,공격력,"0, 0, 10000, 10000",1,1
60107,601072,플레임 스트라이크:폭발,Buff,넉다운,1001,,
60109,601091,파워 샷:폭발,DamagePhy,공격력,"0, 0, 10000, 10000",1,1
60109,601092,파워 샷:폭발,Buff,넉다운,1001,,
73022,730221,자켄 스킬2,DamagePhy,공격력,"0, 0, 20000, 20000",1,1
73022,730222,자켄 스킬2,Buff,공격력감소,73022,1,1
77085,770851,퀘스트 보스 자켄의 환영 스킬,DamagePhy,공격력,"0, 0, 20000, 20000",1,1
77085,770852,퀘스트 보스 자켄의 환영 스킬,Buff,공격력감소,77085,1,1
74061,740611,일렉트릭 웨이브,DamageMag,공격력,"0, 0, 80000, 80000",1,1
74101,741011,공포의 검기,DamagePhy,공격력,"0, 0, 38400, 38400",1,1
74111,741111,오버 드라이브,DamagePhy,공격력,"0, 0, 34000, 34000",1,1
74121,741211,끓어오르는 진흙,DamagePhy,공격력,"0, 0, 22800, 22800",1,1
74121,741212,끓어오르는 진흙,Buff,피해 증가,74121,,
80001,800011,공성 방어탑 발사체,DamagePhy,공격력,"0, 0, 10000, 10000",1,1
1508031,15080311,윈드 스트라이크,DamageMag,공격력,"0, 0, 20700, 20700",,
1512031,15120311,에너지 볼트,DamageMag,공격력,"0, 0, 14400, 14400",,
1513021,15130211,에너지 볼트,DamageMag,공격력,"0, 0, 20000, 20000",,
1513071,15130711,더블 샷,DamagePhy,공격력,"0, 0, 25500, 25500",,
1514051,15140511,파워 샷,DamagePhy,공격력,"0, 0, 16400, 16400",,
1518031,15180311,아이스 볼트,DamageMag,공격력,"0, 0, 20000, 20000",,
1519021,15190211,에너지 볼트,DamageMag,공격력,"0, 0, 12300, 12300",,
720441,7204411,그라비티 포이즌,DamageMag,공격력,"0, 0, 45000, 45000",,
720441,7204412,그라비티 포이즌,Buff,지속피해,720441,,
601261,6012611,페어리,DamageMag,공격력,"0, 0, 10000, 10000",,
601391,6013911,DragonPythonSkill_01,DamageMag,공격력,"0, 0, 10000, 10000",,
601391,6013912,DragonPythonSkill_01,Buff,공격속도 감소,601391,,
601441,6014411,DarkAssociation_M_HighSkill_01,DamageMag,공격력,"0, 0, 10000, 10000",,
