Id,PartyTagType,Purpose,AdventureKey,DifficultyKey,EnterRestrictionId
1,Max,,2000,2000,
2,RegularDungeon,200,2002,472000000002,22
3,RegularDungeon,201,2002,472000000003,22
4,RegularDungeon,202,2002,472000000004,22
5,RegularDungeon,203,2002,472000000005,22
6,RegularDungeon,204,2002,472000000006,22
7,RegularDungeon,205,2002,472000000007,22
8,RegularDungeon,206,2002,472000000008,22
9,RegularDungeon,207,2002,472000000009,22
10,GatheringDungeon,50000,2003,2003,29
11,EquipmentDungeon,9009,2004,472000000011,114
12,EquipmentDungeon,9010,2004,472000000012,114
13,EquipmentDungeon,9011,2004,472000000013,114
14,EquipmentDungeon,9012,2004,472000000014,114
15,SummonStoneDungeon,9013,731000003912,472000000011,115
16,SummonStoneDungeon,9014,731000003912,472000000012,115
17,SummonStoneDungeon,9015,731000003912,472000000013,115
18,SummonStoneDungeon,9016,731000003912,472000000014,115
101,Field,20298,2009,10020298,
102,Field,20398,2009,10020398,
103,Field,20471,2009,10020471,
104,Field,20498,2009,10020498,
105,Field,20598,2009,10220560,
106,Field,20698,2009,10020698,
107,Field,20798,2009,10020798,
108,Field,20898,2009,10020898,
109,Field,20998,2009,10020998,
110,Field,21099,2009,10021099,
111,Field,21198,2009,10021198,
112,Field,21298,2009,10021298,
113,Field,21399,2009,10130301,
114,Field,21498,2009,10021498,
118,RegularDungeon,208,2002,722000000127,22
119,EquipmentDungeon,9300,2004,731000004565,114
120,RegularDungeon,209,2002,731000004294,22
121,RegularDungeon,210,2002,731000004295,22
122,RegularDungeon,211,2002,731000004296,22
123,RegularDungeon,212,2002,731000004297,22
124,PartyDungeon,100001,471000000124,472000000124,20001
125,PartyDungeon,100002,471000000124,472000000125,20001
126,PartyDungeon,100003,471000000124,472000000126,20001
127,PartyDungeon,100004,471000000124,472000000127,20001
129,PartyDungeon,100101,471000000124,472000000129,20002
130,PartyDungeon,100102,471000000124,472000000130,20002
131,PartyDungeon,100103,471000000124,472000000131,20002
132,PartyDungeon,100104,471000000124,472000000132,20002
133,PartyDungeon,100200,471000000124,472000000133,20003
134,PartyDungeon,100201,471000000124,472000000134,20003
135,PartyDungeon,100202,471000000124,472000000135,20003
